Wall time,Step,Value
1546510122.5297925,0,3.6275742053985596
1546510122.5297925,12.5,3.50
1547745195.6957912,25,3.4552788734436035
1547758091.451266,50,3.425774335861206
1547771285.6525323,60,3.413278579711914
1547785122.5139813,70,3.40159010887146
1547771770.1578414,73,3.3976826667785645
1547958238.6842787,75,3.395331382751465
1547958370.1873577,79,3.3883514404296875
1547967693.994809,81,3.381533622741699
1547969445.6848586,83,3.3792223930358887
1547977842.2122374,85,3.374433755874634
1547983192.9389012,87,3.3704559803009033
1547987576.1986225,89,3.362149715423584
1547999018.3003466,91,3.358266592025757
1548008529.9352896,93,3.351262331008911
1548009328.258338,94,3.345947027206421
1548023491.1031325,95,3.3392493724823
1548025382.3609684,96,3.332071542739868
