Wall time,Step,Value
1547198346.5927658,200,1.852647304534912
1547219244.2402673,225,2.080045700073242
1546803202.630713,250,2.301795482635498
1546815856.2517002,275,2.51521635055542
1547232263.3640814,300,2.7192561626434326
1546827699.0208085,325,2.9126312732696533
1546839483.5109873,350,3.0907185077667236
1547244438.202946,362,3.1671221256256104
1546851324.1061435,375,3.2456157207489014
1547256684.990699,387,3.3107399940490723
1546863090.703537,400,3.373023748397827
1546874928.6868749,425,3.4739482402801514
1546886783.7876632,450,3.5448169708251953
1546898612.2255132,475,3.583054780960083
1546910455.9583414,500,3.6093313694000244
1546922378.387048,525,3.6199421882629395
1546934156.2652512,550,3.625108242034912
1546945971.0392182,575,3.6265676021575928
1546957834.6676674,600,3.627398729324341

